Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Clayton Kershaw,35,13,5,0.722,2.46,24,24,0,0,0,0,131.2,100,39,36,19,40,0,137,3,2,6,523,177,4.03,1.063,6.8,1.3,2.7,9.4,3.43,Left,No
2,2023,SP,Bobby Miller,24,11,4,0.733,3.76,22,22,0,0,0,0,124.1,105,53,52,12,32,0,119,6,0,10,505,116,3.51,1.102,7.6,0.9,2.3,8.6,3.72,Right,No
3,2023,SP,Julio Urías,26,11,8,0.579,4.6,21,21,0,0,0,0,117.1,112,61,60,24,24,0,117,6,1,2,482,95,4.69,1.159,8.6,1.8,1.8,9.0,4.88,Left,No
4,2023,SP,Tony Gonsolin,29,8,5,0.615,4.98,20,20,0,0,0,0,103.0,86,61,57,19,40,1,82,7,0,2,435,87,5.43,1.223,7.5,1.7,3.5,7.2,2.05,Right,No
5,2023,SP,Michael Grove,26,2,3,0.4,6.13,18,12,1,0,0,0,69.0,83,47,47,12,19,0,73,3,0,3,302,71,4.36,1.478,10.8,1.6,2.5,9.5,3.84,Right,No
6,2023,SP,Noah Syndergaard,30,1,4,0.2,7.16,12,12,0,0,0,0,55.1,71,44,44,12,9,0,38,6,0,0,246,61,5.51,1.446,11.5,2.0,1.5,6.2,4.22,Right,No
7,2023,CL,Evan Phillips,28,2,4,0.333,2.05,62,0,36,0,0,24,61.1,38,19,14,6,13,2,66,3,0,1,234,212,3.16,0.832,5.6,0.9,1.9,9.7,5.08,Right,No
8,2023,RP,Brusdar Graterol,24,4,2,0.667,1.2,68,1,19,0,0,7,67.1,53,14,9,3,12,1,48,2,0,2,257,363,3.03,0.965,7.1,0.4,1.6,6.4,4.0,Right,No
9,2023,RP,Caleb Ferguson,26,7,4,0.636,3.43,68,7,9,0,0,3,60.1,64,30,23,4,23,0,70,8,0,3,270,127,3.34,1.442,9.5,0.6,3.4,10.4,3.04,Left,No
10,2023,RP,Alex Vesia,27,2,5,0.286,4.35,56,1,10,0,0,1,49.2,52,27,24,7,17,3,64,2,0,2,217,100,3.66,1.389,9.4,1.3,3.1,11.6,3.76,Left,No
11,2023,RP,Yency Almonte,29,3,2,0.6,5.06,49,0,5,0,0,0,48.0,43,30,27,6,24,2,49,4,0,3,208,86,4.59,1.396,8.1,1.1,4.5,9.2,2.04,Right,No
12,2023,,Lance Lynn,36,7,2,0.778,4.36,11,11,0,0,0,0,64.0,59,33,31,16,22,0,47,2,0,0,273,100,6.16,1.266,8.3,2.3,3.1,6.6,2.14,Right,No
13,2023,,Emmet Sheehan,23,4,1,0.8,4.92,13,11,1,0,0,1,60.1,46,33,33,11,26,0,64,1,0,1,248,89,4.85,1.193,6.9,1.6,3.9,9.5,2.46,Right,No
14,2023,,Dustin May,25,4,1,0.8,2.63,9,9,0,0,0,0,48.0,29,14,14,1,16,0,34,2,0,1,187,167,3.23,0.938,5.4,0.2,3.0,6.4,2.13,Right,No
15,2023,,Shelby Miller,32,3,0,1.0,1.71,36,1,12,0,0,1,42.0,19,8,8,3,19,2,42,2,0,1,163,255,3.68,0.905,4.1,0.6,4.1,9.0,2.21,Right,No
16,2023,,Phil Bickford,27,2,3,0.4,5.14,36,0,12,0,0,0,42.0,38,27,24,5,26,3,48,0,1,3,190,85,4.37,1.524,8.1,1.1,5.6,10.3,1.85,Right,No
17,2023,,Ryan Pepiot,25,2,1,0.667,2.14,8,3,0,0,0,0,42.0,27,10,10,7,5,0,38,3,0,0,159,204,4.18,0.762,5.8,1.5,1.1,8.1,7.6,Right,No
18,2023,,Ryan Brasier,35,2,0,1.0,0.7,39,0,5,0,0,1,38.2,18,6,3,1,10,1,38,1,0,1,143,627,2.48,0.724,4.2,0.2,2.3,8.8,3.8,Right,No
19,2023,,Ryan Yarbrough,31,4,2,0.667,4.89,11,2,4,0,0,2,38.2,44,21,21,8,5,0,38,2,0,0,165,90,4.52,1.267,10.2,1.9,1.2,8.8,7.6,Left,No
20,2023,,Victor González,27,3,3,0.5,4.01,34,1,7,0,0,0,33.2,27,15,15,2,10,1,30,3,0,1,135,109,3.4,1.099,7.2,0.5,2.7,8.0,3.0,Left,No
21,2023,,Gavin Stone,24,1,1,0.5,9.0,8,4,1,0,0,1,31.0,46,32,31,8,13,0,22,2,0,0,152,49,6.64,1.903,13.4,2.3,3.8,6.4,1.69,Right,No
22,2023,,Justin Bruihl,26,1,0,1.0,4.07,20,0,9,0,0,0,24.1,24,11,11,2,8,1,19,2,0,2,102,108,3.99,1.315,8.9,0.7,3.0,7.0,2.38,Left,No
23,2023,,Andre Jackson,27,0,0,0.0,6.62,7,0,5,0,0,2,17.2,22,13,13,5,3,0,16,0,0,0,79,67,5.63,1.415,11.2,2.5,1.5,8.2,5.33,Right,No
24,2023,,Gus Varland,26,1,1,0.5,3.09,8,0,4,0,0,0,11.2,12,6,4,0,8,1,14,0,0,2,52,145,2.91,1.714,9.3,0.0,6.2,10.8,1.75,Right,No
25,2023,,Nick Robertson,24,0,1,0.0,6.1,9,0,2,0,0,0,10.1,17,10,7,1,4,0,13,0,0,0,50,74,3.16,2.032,14.8,0.9,3.5,11.3,3.25,Right,No
26,2023,,Joe Kelly,35,1,0,1.0,1.74,11,0,2,0,0,0,10.1,3,3,2,0,6,0,19,0,0,2,40,258,1.32,0.871,2.6,0.0,5.2,16.5,3.17,Right,No
27,2023,,Bryan Hudson,26,0,0,0.0,7.27,6,0,5,0,0,0,8.2,12,7,7,1,4,0,7,1,0,0,44,62,4.87,1.846,12.5,1.0,4.2,7.3,1.75,Left,No
28,2023,,Wander Suero,31,1,0,1.0,7.88,5,0,3,0,0,0,8.0,6,7,7,2,5,0,9,0,0,0,35,58,6.13,1.375,6.8,2.3,5.6,10.1,1.8,Right,No
29,2023,,Tayler Scott,31,0,0,0.0,9.0,6,0,1,0,0,0,6.0,6,6,6,0,4,2,8,1,0,0,30,51,3.09,1.667,9.0,0.0,6.0,12.0,2.0,Right,No
30,2023,,Dylan Covey,31,0,0,0.0,4.5,1,0,0,0,0,0,4.0,5,2,2,2,1,0,3,0,0,0,18,105,9.01,1.5,11.3,4.5,2.3,6.8,3.0,Right,No
31,2023,,Tyson Miller,27,0,0,0.0,4.5,2,0,0,0,0,0,4.0,4,2,2,0,1,0,3,0,0,1,15,105,2.51,1.25,9.0,0.0,2.3,6.8,3.0,Right,No
32,2023,,Miguel Rojas,34,0,0,0.0,6.0,3,0,3,0,0,0,3.0,3,2,2,0,1,0,0,1,0,0,14,81,5.26,1.333,9.0,0.0,3.0,0.0,0.0,Right,No
33,2023,,Daniel Hudson,36,0,0,0.0,0.0,3,0,1,0,0,1,3.0,2,0,0,0,3,0,5,0,0,0,14,0,2.92,1.667,6.0,0.0,9.0,15.0,1.67,Right,No
34,2023,,Kyle Hurt,25,0,0,0.0,0.0,1,0,1,0,0,0,2.0,0,0,0,0,0,0,3,0,0,0,6,0,0.26,0.0,0.0,0.0,0.0,13.5,0.0,Right,No
35,2023,,Tyler Cyr,30,0,0,0.0,0.0,2,0,2,0,0,0,1.2,1,0,0,0,0,0,2,0,0,0,6,0,0.86,0.6,5.4,0.0,0.0,10.8,0.0,Right,No
36,2023,,Adam Kolarek,34,0,0,0.0,0.0,1,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0,0,0,5,0,0.26,0.75,6.8,0.0,0.0,13.5,0.0,Left,No
37,2023,,Yonny Hernández,25,0,0,0.0,0.0,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,0,3.26,1.0,9.0,0.0,0.0,0.0,0.0,Right,No
38,2023,,Luke Williams,26,0,0,0.0,0.0,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,3,0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
39,2023,,Jake Reed,30,0,0,0.0,81.0,1,0,0,0,0,0,0.2,5,6,6,1,1,0,1,0,0,0,7,8,24.26,9.0,67.5,13.5,13.5,13.5,1.0,Right,No
1,2022,SP,Tyler Anderson,32,15,5,0.75,2.57,30,28,0,0,0,0,178.2,145,57,51,14,34,0,138,9,0,6,707,157,3.31,1.002,7.3,0.7,1.7,7.0,4.06,Left,No
2,2022,SP,Julio Urías,25,17,7,0.708,2.16,31,31,0,0,0,0,175.0,127,51,42,23,41,0,166,5,1,0,689,186,3.71,0.96,6.5,1.2,2.1,8.5,4.05,Left,No
3,2022,SP,Tony Gonsolin,28,16,1,0.941,2.14,24,24,0,0,0,0,130.1,79,32,31,11,35,1,119,4,0,5,498,188,3.28,0.875,5.5,0.8,2.4,8.2,3.4,Right,No
4,2022,SP,Clayton Kershaw,34,12,3,0.8,2.28,22,22,0,0,0,0,126.1,96,36,32,10,23,0,137,2,1,0,493,177,2.57,0.942,6.8,0.7,1.6,9.8,5.96,Left,No
5,2022,SP,Andrew Heaney,31,4,4,0.5,3.1,16,14,1,0,0,0,72.2,60,34,25,14,19,0,110,9,0,0,310,130,3.75,1.087,7.4,1.7,2.4,13.6,5.79,Left,No
6,2022,SP,Walker Buehler,27,6,3,0.667,4.02,12,12,0,1,1,0,65.0,67,30,29,8,17,0,58,2,0,1,274,101,3.8,1.292,9.3,1.1,2.4,8.0,3.41,Right,No
7,2022,CL,Craig Kimbrel,34,6,7,0.462,3.75,63,0,47,0,0,22,60.0,51,31,25,4,28,2,72,5,1,7,260,108,3.23,1.317,7.7,0.6,4.2,10.8,2.57,Right,No
8,2022,RP,Evan Phillips,27,7,3,0.7,1.14,64,0,9,0,0,2,63.0,33,11,8,2,15,1,77,3,0,0,233,353,1.94,0.762,4.7,0.3,2.1,11.0,5.13,Right,No
9,2022,RP,Phil Bickford,26,2,1,0.667,4.72,60,0,13,0,0,0,61.0,53,33,32,12,14,0,67,2,0,0,247,86,4.26,1.098,7.8,1.8,2.1,9.9,4.79,Right,No
10,2022,RP,Alex Vesia,26,5,0,1.0,2.15,63,0,6,0,0,1,54.1,37,14,13,2,24,1,79,2,0,2,227,188,2.12,1.123,6.1,0.3,4.0,13.1,3.29,Left,No
11,2022,RP,Brusdar Graterol,23,2,4,0.333,3.26,46,1,12,0,0,4,49.2,39,20,18,3,10,1,43,3,0,0,197,124,2.95,0.987,7.1,0.5,1.8,7.8,4.3,Right,No
12,2022,,Mitch White,27,1,2,0.333,3.7,15,10,1,0,0,0,56.0,51,25,23,6,19,0,47,2,0,4,237,109,3.95,1.25,8.2,1.0,3.1,7.6,2.47,Right,No
13,2022,,David Price,36,2,0,1.0,2.45,40,0,13,0,0,2,40.1,38,11,11,6,9,2,37,0,0,0,167,165,3.88,1.165,8.5,1.3,2.0,8.3,4.11,Left,No
14,2022,,Ryan Pepiot,24,3,0,1.0,3.47,9,7,0,0,0,0,36.1,26,15,14,6,27,0,42,3,0,1,160,117,5.42,1.459,6.4,1.5,6.7,10.4,1.56,Right,No
15,2022,,Yency Almonte,28,0,0,0.0,1.02,33,0,3,0,0,1,35.1,18,4,4,2,10,1,33,4,0,0,135,398,3.17,0.792,4.6,0.5,2.5,8.4,3.3,Right,No
16,2022,,Caleb Ferguson,25,1,0,1.0,1.82,37,1,3,0,0,0,34.2,23,9,7,1,17,0,37,2,0,0,142,223,3.0,1.154,6.0,0.3,4.4,9.6,2.18,Left,No
17,2022,,Dustin May,24,2,3,0.4,4.5,6,6,0,0,0,0,30.0,21,17,15,3,14,0,29,5,0,0,127,90,4.38,1.167,6.3,0.9,4.2,8.7,2.07,Right,No
18,2022,,Michael Grove,25,1,0,1.0,4.6,7,6,1,0,0,0,29.1,32,21,15,6,10,1,24,0,0,2,133,88,5.16,1.432,9.8,1.8,3.1,7.4,2.4,Right,No
19,2022,,Chris Martin,36,3,1,0.75,1.46,26,0,2,0,0,2,24.2,12,4,4,1,1,0,34,1,0,1,92,279,1.13,0.527,4.4,0.4,0.4,12.4,34.0,Right,No
20,2022,,Daniel Hudson,35,2,3,0.4,2.22,25,0,8,0,0,5,24.1,17,7,6,1,5,0,30,2,0,4,97,184,2.04,0.904,6.3,0.4,1.8,11.1,6.0,Right,No
21,2022,,Reyes Moronta,29,0,0,0.0,4.18,22,0,6,0,0,0,23.2,17,11,11,5,10,0,27,2,0,4,98,97,5.1,1.141,6.5,1.9,3.8,10.3,2.7,Right,No
22,2022,,Justin Bruihl,25,1,1,0.5,3.8,24,0,11,0,0,1,23.2,22,11,10,4,6,2,13,3,0,0,100,107,5.35,1.183,8.4,1.5,2.3,4.9,2.17,Left,No
23,2022,,Tommy Kahnle,32,0,0,0.0,2.84,13,0,2,0,0,1,12.2,5,4,4,2,3,0,14,3,0,1,46,145,4.38,0.632,3.6,1.4,2.1,9.9,4.67,Right,No
24,2022,,Hanser Alberto,29,0,0,0.0,4.09,10,0,10,0,0,0,11.0,10,5,5,2,3,0,1,1,0,0,47,102,6.38,1.182,8.2,1.6,2.5,0.8,0.33,Right,No
25,2022,,Andre Jackson,26,0,0,0.0,1.86,4,0,3,0,0,1,9.2,9,3,2,0,4,0,9,0,0,0,42,224,2.49,1.345,8.4,0.0,3.7,8.4,2.25,Right,No
26,2022,,Heath Hembree,33,1,1,0.5,7.94,6,0,3,0,0,0,5.2,9,6,5,1,3,1,5,0,0,0,29,54,5.23,2.118,14.3,1.6,4.8,7.9,1.67,Right,No
27,2022,,Blake Treinen,34,1,1,0.5,1.8,5,0,1,0,0,0,5.0,1,1,1,1,1,0,6,0,0,0,17,240,3.91,0.4,1.8,1.8,1.8,10.8,6.0,Right,No
28,2022,,Jake Reed,29,0,0,0.0,1.93,5,0,2,0,0,1,4.2,6,1,1,0,1,0,2,0,0,0,20,225,2.9,1.5,11.6,0.0,1.9,3.9,2.0,Right,No
29,2022,,Garrett Cleavinger,28,0,1,0.0,10.38,4,0,1,0,0,0,4.1,6,7,5,1,3,0,7,1,0,0,24,42,5.65,2.077,12.5,2.1,6.2,14.5,2.33,Left,No
30,2022,,Robbie Erlin,31,0,0,0.0,9.0,2,0,2,0,0,0,2.0,2,2,2,1,1,0,1,0,0,0,9,53,10.11,1.5,9.0,4.5,4.5,4.5,1.0,Left,No
31,2022,,Shane Greene,33,1,0,1.0,0.0,1,0,1,0,0,0,2.0,2,0,0,0,0,0,1,0,0,0,8,0,2.11,1.0,9.0,0.0,0.0,4.5,0.0,Right,No
1,2021,SP,Walker Buehler,26,16,4,0.8,2.47,33,33,0,0,0,0,207.2,149,61,57,19,52,2,212,6,0,5,815,171,3.16,0.968,6.5,0.8,2.3,9.2,4.08,Right,No
2,2021,SP,Julio Urías,24,20,3,0.87,2.96,32,32,0,0,0,0,185.2,151,67,61,19,38,3,195,7,1,2,745,143,3.13,1.018,7.3,0.9,1.8,9.5,5.13,Left,No
3,2021,SP,Clayton Kershaw,33,10,8,0.556,3.55,22,22,0,0,0,0,121.2,103,51,48,15,21,0,144,3,1,7,488,119,3.0,1.019,7.6,1.1,1.6,10.7,6.86,Left,No
4,2021,SP,Trevor Bauer,30,8,5,0.615,2.59,17,17,0,1,0,0,107.2,71,36,31,19,37,1,137,3,0,3,432,163,4.03,1.003,5.9,1.6,3.1,11.5,3.7,Right,No
5,2021,SP,Max Scherzer,36,7,0,1.0,1.98,11,11,0,0,0,0,68.1,48,17,15,5,8,0,89,2,0,2,265,214,1.96,0.82,6.3,0.7,1.1,11.7,11.13,Right,No
6,2021,SP,Tony Gonsolin,27,4,1,0.8,3.23,15,13,0,0,0,0,55.2,41,20,20,8,34,0,65,0,0,4,239,131,4.54,1.347,6.6,1.3,5.5,10.5,1.91,Right,No
7,2021,CL,Kenley Jansen,33,4,4,0.5,2.22,69,0,52,0,0,38,69.0,36,21,17,4,36,4,86,2,2,4,278,191,3.08,1.043,4.7,0.5,4.7,11.2,2.39,Right,No
8,2021,RP,Blake Treinen,33,6,5,0.545,1.99,72,0,10,0,0,7,72.1,46,20,16,5,25,1,85,3,0,3,286,212,2.88,0.982,5.7,0.6,3.1,10.6,3.4,Right,No
9,2021,RP,Phil Bickford,25,4,2,0.667,2.5,56,0,8,0,0,1,50.1,34,16,14,6,18,7,59,2,0,0,200,169,3.57,1.033,6.1,1.1,3.2,10.5,3.28,Right,No
10,2021,RP,Joe Kelly,33,2,0,1.0,2.86,48,0,7,0,0,2,44.0,28,16,14,3,15,1,50,4,1,0,182,148,3.08,0.977,5.7,0.6,3.1,10.2,3.33,Right,No
11,2021,RP,Victor González,25,3,1,0.75,3.57,44,1,5,0,0,1,35.1,32,14,14,3,19,2,33,3,0,1,155,119,4.27,1.443,8.2,0.8,4.8,8.4,1.74,Left,No
12,2021,,David Price,35,5,2,0.714,4.03,39,11,5,0,0,1,73.2,79,35,33,8,26,2,58,4,0,1,326,105,4.23,1.425,9.7,1.0,3.2,7.1,2.23,Left,No
13,2021,,Mitch White,26,1,3,0.25,3.66,21,4,6,0,0,0,46.2,38,28,19,6,17,1,49,0,0,3,197,116,3.83,1.179,7.3,1.2,3.3,9.5,2.88,Right,No
14,2021,,Alex Vesia,25,3,1,0.75,2.25,41,0,7,0,0,1,40.0,17,17,10,6,22,3,54,2,0,0,161,189,4.22,0.975,3.8,1.4,5.0,12.2,2.45,Left,No
15,2021,,Brusdar Graterol,22,3,0,1.0,4.59,34,1,6,0,0,0,33.1,34,18,17,2,13,6,27,5,0,2,150,93,3.95,1.41,9.2,0.5,3.5,7.3,2.08,Right,No
16,2021,,Jimmy Nelson,32,1,2,0.333,1.86,28,1,5,0,0,0,29.0,14,8,6,0,13,0,44,4,1,4,116,229,1.89,0.931,4.3,0.0,4.0,13.7,3.38,Right,No
17,2021,,Corey Knebel,29,4,0,1.0,2.45,27,4,3,0,0,3,25.2,16,8,7,2,9,1,30,0,1,0,101,174,2.9,0.974,5.6,0.7,3.2,10.5,3.33,Right,No
18,2021,,Dustin May,23,1,1,0.5,2.74,5,5,0,0,0,0,23.0,16,8,7,4,6,0,35,1,0,0,93,156,3.3,0.957,6.3,1.6,2.3,13.7,5.83,Right,No
19,2021,,Edwin Uceta,23,0,3,0.0,6.64,14,1,5,0,0,0,20.1,19,18,15,3,12,1,25,0,1,1,92,64,4.4,1.525,8.4,1.3,5.3,11.1,2.08,Right,No
20,2021,,Justin Bruihl,24,0,1,0.0,2.89,21,2,2,0,0,0,18.2,13,7,6,1,7,2,11,1,0,3,73,148,3.97,1.071,6.3,0.5,3.4,5.3,1.57,Left,No
21,2021,,Garrett Cleavinger,27,2,4,0.333,3.0,22,1,7,0,0,0,18.0,20,11,6,4,12,1,21,1,0,0,84,143,5.89,1.778,10.0,2.0,6.0,10.5,1.75,Left,No
22,2021,,Scott Alexander,31,0,2,0.0,2.93,18,0,6,0,0,0,15.1,15,6,5,2,4,1,8,1,0,1,67,147,4.8,1.239,8.8,1.2,2.3,4.7,2.0,Left,No
23,2021,,Dennis Santana,25,0,0,0.0,6.0,16,0,5,0,0,0,15.0,18,11,10,0,11,1,8,3,0,2,74,72,4.9,1.933,10.8,0.0,6.6,4.8,0.73,Right,No
24,2021,,Andre Jackson,25,0,1,0.0,2.31,3,0,1,0,0,1,11.2,10,3,3,1,6,0,10,0,1,0,50,187,4.11,1.371,7.7,0.8,4.6,7.7,1.67,Right,No
25,2021,,Evan Phillips,26,1,1,0.5,3.48,7,0,4,0,0,0,10.1,8,5,4,0,5,1,9,1,0,1,46,125,3.17,1.258,7.0,0.0,4.4,7.8,1.8,Right,No
26,2021,,Nate Jones,35,0,0,0.0,8.31,8,0,1,0,0,0,8.2,8,9,8,4,2,0,7,0,0,0,37,53,8.25,1.154,8.3,4.2,2.1,7.3,3.5,Right,No
27,2021,,Josiah Gray,23,0,0,0.0,6.75,2,1,0,0,0,0,8.0,7,6,6,4,5,1,13,0,0,1,35,65,8.3,1.5,7.9,4.5,5.6,14.6,2.6,Right,No
28,2021,,Darien Núñez,28,0,1,0.0,8.22,6,1,1,0,0,0,7.2,8,8,7,3,4,0,8,0,0,0,33,54,7.74,1.565,9.4,3.5,4.7,9.4,2.0,Left,No
29,2021,,Shane Greene,32,0,0,0.0,4.05,9,0,2,0,0,1,6.2,3,3,3,1,5,0,7,3,0,1,30,110,6.62,1.2,4.1,1.4,6.8,9.5,1.4,Right,No
30,2021,,Jake Reed,28,0,0,0.0,3.38,6,1,2,0,0,0,5.1,5,3,2,1,2,1,5,0,0,0,24,133,4.86,1.313,8.4,1.7,3.4,8.4,2.5,Right,No
31,2021,,James Sherfy,29,1,1,0.5,4.15,4,0,3,0,0,0,4.1,3,3,2,1,0,0,3,1,0,0,17,110,5.48,0.692,6.2,2.1,0.0,6.2,0.0,Right,No
32,2021,,Neftalí Feliz,33,0,0,0.0,0.0,3,0,1,0,0,0,3.0,1,0,0,0,0,0,1,0,0,0,10,0,2.5,0.333,3.0,0.0,0.0,3.0,0.0,Right,No
33,2021,,Mike Kickham,32,0,0,0.0,13.5,1,0,1,0,0,0,2.0,5,3,3,1,1,0,2,1,0,0,12,37,10.67,3.0,22.5,4.5,4.5,9.0,2.0,Left,No
34,2021,,Yefry Ramírez,27,0,0,0.0,0.0,1,0,1,0,0,0,2.0,0,0,0,0,1,0,2,0,0,0,6,0,2.67,0.5,0.0,0.0,4.5,9.0,2.0,Right,No
35,2021,,Conner Greene,26,0,0,0.0,0.0,2,0,2,0,0,0,2.0,2,0,0,0,0,0,2,0,0,1,8,0,1.17,1.0,9.0,0.0,0.0,9.0,0.0,Right,No
36,2021,,Andrew Vasquez,27,0,0,0.0,0.0,2,0,1,0,0,0,1.2,1,1,0,0,0,0,3,0,0,0,6,0,-0.43,0.6,5.4,0.0,0.0,16.2,0.0,Left,No
37,2021,,Justin Turner,36,0,0,0.0,0.0,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,5,0,3.17,2.0,18.0,0.0,0.0,0.0,0.0,Right,No
38,2021,,Andy Burns,30,0,0,0.0,18.0,1,0,1,0,0,0,1.0,3,2,2,1,0,0,1,0,0,0,6,32,14.17,3.0,27.0,9.0,0.0,9.0,0.0,Right,No
39,2021,,Kevin Quackenbush,32,0,0,0.0,27.0,1,0,0,0,0,0,0.1,3,1,1,0,0,0,1,0,0,0,4,33,-2.83,9.0,81.0,0.0,0.0,27.0,0.0,Right,No
1,2020,SP,Clayton Kershaw,32,6,2,0.75,2.16,10,10,0,0,0,0,58.1,41,18,14,8,8,0,62,1,0,0,221,202,3.31,0.84,6.3,1.2,1.2,9.6,7.75,Left,No
2,2020,SP,Dustin May,22,3,1,0.75,2.57,12,10,0,0,0,0,56.0,45,18,16,9,16,0,44,1,0,2,224,170,4.62,1.089,7.2,1.4,2.6,7.1,2.75,Right,No
3,2020,SP,Julio Urías,23,3,0,1.0,3.27,11,10,0,0,0,0,55.0,45,20,20,5,18,0,45,0,0,2,224,134,3.72,1.145,7.4,0.8,2.9,7.4,2.5,Left,No
4,2020,SP,Tony Gonsolin,26,2,2,0.5,2.31,9,8,1,0,0,0,46.2,32,13,12,2,7,0,46,1,0,3,176,189,2.29,0.836,6.2,0.4,1.4,8.9,6.57,Right,No
5,2020,SP,Walker Buehler,25,1,0,1.0,3.44,8,8,0,0,0,0,36.2,24,18,14,7,11,0,42,1,0,4,147,128,4.36,0.955,5.9,1.7,2.7,10.3,3.82,Right,No
6,2020,SP,Ross Stripling,30,3,1,0.75,5.61,7,7,0,0,0,0,33.2,38,26,21,12,11,0,27,1,0,1,150,78,7.29,1.455,10.2,3.2,2.9,7.2,2.45,Right,No
7,2020,CL,Kenley Jansen,32,3,1,0.75,3.33,27,0,24,0,0,11,24.1,19,11,9,2,9,0,33,3,0,0,102,132,3.03,1.151,7.0,0.7,3.3,12.2,3.67,Right,No
8,2020,RP,Blake Treinen,32,3,3,0.5,3.86,27,0,3,0,0,1,25.2,23,15,11,1,8,1,22,2,0,2,107,114,3.15,1.208,8.1,0.4,2.8,7.7,2.75,Right,No
9,2020,RP,Dylan Floro,29,3,0,1.0,2.59,25,0,4,0,0,0,24.1,23,7,7,1,4,1,19,0,0,1,98,170,2.66,1.11,8.5,0.4,1.5,7.0,4.75,Right,No
10,2020,RP,Brusdar Graterol,21,1,2,0.333,3.09,23,2,1,0,0,0,23.1,18,9,8,1,3,0,13,3,0,0,88,143,3.41,0.9,6.9,0.4,1.2,5.0,4.33,Right,No
11,2020,RP,Jake McGee,33,3,1,0.75,2.66,24,0,4,0,0,0,20.1,14,6,6,2,3,0,33,0,0,0,79,167,1.67,0.836,6.2,0.9,1.3,14.6,11.0,Left,No
12,2020,,Victor González,24,3,0,1.0,1.33,15,1,1,0,0,0,20.1,13,3,3,0,2,0,23,3,0,2,80,333,1.67,0.738,5.8,0.0,0.9,10.2,11.5,Left,No
13,2020,,Adam Kolarek,31,3,0,1.0,0.95,20,0,3,0,0,1,19.0,11,2,2,1,4,0,13,0,0,2,72,467,3.14,0.789,5.2,0.5,1.9,6.2,3.25,Left,No
14,2020,,Caleb Ferguson,23,2,1,0.667,2.89,21,1,0,0,0,0,18.2,16,7,6,4,3,0,27,0,0,0,75,153,3.57,1.018,7.7,1.9,1.4,13.0,9.0,Left,No
15,2020,,Pedro Báez,32,0,0,0.0,3.18,18,0,2,0,0,2,17.0,10,8,6,2,7,0,13,0,0,0,70,140,4.43,1.0,5.3,1.1,3.7,6.9,1.86,Right,No
16,2020,,Dennis Santana,24,1,2,0.333,5.29,12,0,7,0,0,0,17.0,15,11,10,4,7,0,18,2,0,1,73,84,5.72,1.294,7.9,2.1,3.7,9.5,2.57,Right,No
17,2020,,Alex Wood,29,0,1,0.0,6.39,9,2,2,0,0,0,12.2,17,11,9,2,6,1,15,3,0,1,65,70,5.01,1.816,12.1,1.4,4.3,10.7,2.5,Left,No
18,2020,,Scott Alexander,30,2,0,1.0,2.92,13,0,1,0,0,0,12.1,9,6,4,2,9,1,9,0,0,0,52,153,6.03,1.459,6.6,1.5,6.6,6.6,1.0,Left,No
19,2020,,Joe Kelly,32,0,0,0.0,1.8,12,1,2,0,0,0,10.0,8,3,2,0,7,0,9,0,0,3,42,250,3.49,1.5,7.2,0.0,6.3,8.1,1.29,Right,No
20,2020,,Josh Sborz,26,0,0,0.0,2.08,4,0,3,0,0,0,4.1,2,1,1,1,1,0,2,0,0,0,16,226,5.96,0.692,4.2,2.1,2.1,4.2,2.0,Right,No
21,2020,,Mitch White,25,1,0,1.0,0.0,2,0,2,0,0,0,3.0,1,0,0,0,1,0,2,0,0,0,11,0,2.86,0.667,3.0,0.0,3.0,6.0,2.0,Right,No
1,2019,SP,Hyun Jin Ryu,32,14,5,0.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,179,3.1,1.007,7.9,0.8,1.2,8.0,6.79,Left,No
2,2019,SP,Walker Buehler,24,14,4,0.778,3.26,30,30,0,2,0,0,182.1,153,77,66,20,37,0,215,7,0,4,737,127,3.01,1.042,7.6,1.0,1.8,10.6,5.81,Right,No
3,2019,SP,Clayton Kershaw,31,16,5,0.762,3.03,29,28,0,0,0,0,178.1,145,63,60,28,41,0,189,2,1,7,706,137,3.86,1.043,7.3,1.4,2.1,9.5,4.61,Left,No
